fEleEle1_r2	fEleEle1_r1	fAciRut3_r	fArcCen1_r	kPetMar1_r	fParRan2_r	fAnaTes1_d	fAnaTes1_r	fCycLum1_r	fDenClu1_r	fEsoLuc1_r	fSebUmb1_r	fHipHip1_r	fMegCyp1_r	fAntMac1_r1	fAntMac1_r2	fAntMac1_d	aBufBuf1_r1	aBufBuf1_r2	aRanTem1_r	aRanTem1_dr	aDenEbr1_r1	aDenEbr1_r2	rGopFla2_r	rDerCor1_r	rGopEvg1_r	rLacAgi1_dr	mZalCal1_r	mTriVul1_r1	mTriVul1_r2	mMusErm1_r	mPipPip1_r2	mLynCan4_r2	mLynCan4_r1	mTamTet1_r	mLutLut1_r	mOrnAna1_r	mLemCat1_r2	mLemCat1_r1	mMyoMyo1_r2	mMyoMyo1_r1	mRhiFer1_r1	mPhyDis1_r	mPipKuh1_r2	mPipKuh1_r1	mPipPip1_r1	bCarCri1_dr	bFalRus1_r	bBalReg1_d	bBalReg1_r	bCatUst1_d	bAcaChl1_d	bFalNau1_r1	bFalNau1_r2	bSteHir1_d	bMerNub1_rd	bStrHab1_r	bMelUnd1_d	bCucCan1_r	bAquChr1_r	bPogPus1_rd	bCicMag1_dr	bAlcTor1_d	bPluApr1_r	bPluApr1_d	bCalAnn1_d	bNycGra1_rd	bHemCom1_d
								202		13		14	116	150	-111	-9			13	81	17	264						-13		19	-70	7	-22		1	37	-3	-16	53	3	-56	26	7	6								23	4			3			-162	264	227	63	-465	175	209	471	2
								175		-6		-4	-136	81	-60	4			10	88	-13	108						-13		5	-14	75	57		4	35	-3	-15	9	-9	-16	22	1	2								28	11			15			500	53	69	-60	-117	250	582	-63	-29
								222		62		40	96	114	1	26			-24	-12	63	111						-121		11	41	-9	79		3	60	3	-89	73	-3	-12	-6	17	-10								-109	-2			30			-8	-186	375	19	-65	184	393	392	147
								201		37		265	-47	1135	-49	-35			15	-254	91	64						-10		6	-2	13	-1		-4	124	4	-43	-4	33	-71	46	-5	29								19	11			11			-155	-155	251	-107	-12	1251	121	2272	68
								32		5		103	-149	90	-104	2			30	-307	132	85						-26		46		-20	100		-4	-49	1	-4	-2	11	5	38	-17	-76								119	-2			58			32	129	284	-96	109	92	141	2749	25
										13		28	-138	101	109	-35			18	-42	63	27								25		4	-16		22	28	-2	-11	4	-98	3	3	1229	2								59	19			23			41	150	56	-103	107	91	-72	196	116
										-2		-33	56	57	399	-34			-3	195	3	192								93		24	63		-1	3	-5	-6	10	9	-26	33	-14	3								40	8			74			-58	593	69	-14	53	978	385	156	49
										80		34	95	120	283	86			46	1639	140	46								53		6	-12		-12	19	4	16	25	5	53	5	-18	6								124	6			-51			-2	-261	80	-37	95	145	-92	-5	-54
										-18		153	-158	162	52	-24			19	152	130	158								-11		7	-6		-8	-22	-2	-71	27	15	71	1	0	-13								-100	-4			-12			-8	216	620	-65	46	156	-60	-126	49
										91		76	40	-50	-20	-18			26	-170	123	-7								1		4	71		0	-47	-9	-65	15	15	14	-28	-10	-77								26	-17			62			-65	203	17	-31	-504	252	139	-643	-55
